@@Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportingNode,Year,Month,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH,2020,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
@@Cashflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataNode,AmountType,EstimateType,AocType,Novelty,AccidentYear,Values0,Values1,Values2,Values3,Values4,Values5,Values6,Values7,Values8,Values9,Values10,Values11,Values12,Values13,Values14,Values15,Values16,Values17,Values18,Values19,Values20,Values21,Values22,Values23
RP1.1,PR,BE,CL,C,,0,0,142.5,0,0,142.5,0,0,142.5,0,0,142.5,0,0,142.5,0,0,142.5,0,0,142.5,0,0,142.5
RP1.1,NIC,BE,BOP,I,,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25
RP1.1,NIC,BE,MC,I,,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5,-27.5
RP1.1,NIC,BE,BOP,N,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
RP1.1,NIC,BE,EV,N,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
RP1.1,NIC,BE,CL,C,,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5
RP1.1,AEM,BE,BOP,I,,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5
RP1.1,AEM,BE,MC,I,,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75
RP1.1,AEM,BE,BOP,N,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
RP1.1,AEM,BE,EV,N,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
RP1.1,AEM,BE,CL,C,,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25
RPR1.1,PR,BE,BOP,I,,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5
RPR1.1,PR,BE,MC,I,,0,0,-41.25,0,0,-41.25,0,0,-41.25,0,0,-41.25,0,0,-41.25,0,0,-41.25,0,0,-41.25,0,0,-41.25
RPR1.1,PR,BE,BOP,N,,0,0,-3,0,0,-3,0,0,-3,0,0,-3,0,0,-3,0,0,-3,0,0,-3,0,0,-3
RPR1.1,PR,BE,EV,N,,0,0,-1.5,0,0,-1.5,0,0,-1.5,0,0,-1.5,0,0,-1.5,0,0,-1.5,0,0,-1.5,0,0,-1.5
RPR1.1,PR,BE,CL,C,,0,0,-42.75,0,0,-42.75,0,0,-42.75,0,0,-42.75,0,0,-42.75,0,0,-42.75,0,0,-42.75,0,0,-42.75
RPR1.1,NIC,BE,BOP,I,,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
RPR1.1,NIC,BE,MC,I,,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
RPR1.1,NIC,BE,BOP,N,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
RPR1.1,NIC,BE,EV,N,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
RPR1.1,NIC,BE,CL,C,,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55
RPR1.1,AC,BE,BOP,I,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
RPR1.1,AC,BE,MC,I,,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
RPR1.1,AC,BE,BOP,N,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
RPR1.1,AC,BE,EV,N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPR1.1,AC,BE,CL,C,,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5

