@@Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportingNode,Year,Month,Scenario,,,,,,,,,,,,,,,,,,,,,,,,,
CH,2020,12,IRU,,,,,,,,,,,,,,,,,,,,,,,,,
@@Cashflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataNode,AmountType,AocType,Novelty,AccidentYear,Values0,Values1,Values2,Values3,Values4,Values5,Values6,Values7,Values8,Values9,Values10,Values11,Values12,Values13,Values14,Values15,Values16,Values17,Values18,Values19,Values20,Values21,Values22,Values23
DT2.1,PR,CL,C,,-110,0,0,-110,0,0,-110,0,0,-110,0,0,0,-110,0,0,-110,0,0,-110,0,0,-110,0
DT2.1,NIC,CL,C,,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
DT2.1,CU,CL,C,,11,11,11,11,11,11,11,11,11,11,11,11,11,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,3.3
DT2.1,RA,CL,C,,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
DT2.2,NIC,BOP,N,2020,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
DT2.2,CU,BOP,N,2020,11,11,11,11,11,11,11,11,11,11,11,11,11,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,3.3
DT2.2,RA,BOP,N,2020,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
DT2.2,NIC,CL,C,2020,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
DT2.2,CU,CL,C,2020,11,11,11,11,11,11,11,11,11,11,11,11,11,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,3.3
DT2.2,RA,CL,C,2020,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
DTR1.1,PR,BOP,N,,55,0,0,55,0,0,55,0,0,55,0,0,0,55,0,0,55,0,0,55,0,0,55,0
DTR1.1,NIC,BOP,N,,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75
DTR1.1,CU,BOP,N,,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.65
DTR1.1,RA,BOP,N,,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375
DTR1.1,PR,CL,C,,55,0,0,55,0,0,55,0,0,55,0,0,0,55,0,0,55,0,0,55,0,0,55,0
DTR1.1,NIC,CL,C,,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75
DTR1.1,CU,CL,C,,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.65
DTR1.1,RA,CL,C,,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375
DTR1.2,NIC,BOP,N,2020,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75
DTR1.2,CU,BOP,N,2020,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.65
DTR1.2,RA,BOP,N,2020,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375
DTR1.2,NIC,CL,C,2020,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75
DTR1.2,CU,CL,C,2020,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.65
DTR1.2,RA,CL,C,2020,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375
DTR2.1,PR,BOP,N,,55,0,0,55,0,0,55,0,0,55,0,0,0,55,0,0,55,0,0,55,0,0,55,0
DTR2.1,NIC,BOP,N,,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75
DTR2.1,CU,BOP,N,,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.65
DTR2.1,RA,BOP,N,,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375
DTR2.1,PR,CL,C,,55,0,0,55,0,0,55,0,0,55,0,0,0,55,0,0,55,0,0,55,0,0,55,0
DTR2.1,NIC,CL,C,,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75
DTR2.1,CU,CL,C,,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.65
DTR2.1,RA,CL,C,,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375
DTR2.2,NIC,BOP,N,2020,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75
DTR2.2,CU,BOP,N,2020,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.65
DTR2.2,RA,BOP,N,2020,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375
DTR2.2,NIC,CL,C,2020,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75
DTR2.2,CU,CL,C,2020,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.65
DTR2.2,RA,CL,C,2020,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375
DT3.1,PR,BOP,N,,-110,0,0,-110,0,0,-110,0,0,-110,0,0,0,-110,0,0,-110,0,0,-110,0,0,-110,0
DT3.1,NIC,BOP,N,,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
DT3.1,CU,BOP,N,,11,11,11,11,11,11,11,11,11,11,11,11,11,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,3.3
DT3.1,RA,BOP,N,,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
DT3.1,PR,CL,C,,-110,0,0,-110,0,0,-110,0,0,-110,0,0,0,-110,0,0,-110,0,0,-110,0,0,-110,0
DT3.1,NIC,CL,C,,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
DT3.1,CU,CL,C,,11,11,11,11,11,11,11,11,11,11,11,11,11,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,3.3
DT3.1,RA,CL,C,,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
DT4.1,PR,BOP,N,,-110,0,0,-110,0,0,-110,0,0,-110,0,0,0,-110,0,0,-110,0,0,-110,0,0,-110,0
DT4.1,NIC,BOP,N,,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
DT4.1,CU,BOP,N,,11,11,11,11,11,11,11,11,11,11,11,11,11,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,3.3
DT4.1,RA,BOP,N,,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
DT4.1,PR,CL,C,,-110,0,0,-110,0,0,-110,0,0,-110,0,0,0,-110,0,0,-110,0,0,-110,0,0,-110,0
DT4.1,NIC,CL,C,,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
DT4.1,CU,CL,C,,11,11,11,11,11,11,11,11,11,11,11,11,11,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,3.3
DT4.1,RA,CL,C,,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
